start_station_name,year,number_of_rides
Michigan Ave & Ida B Wells Dr,2019,8496
Wells St & Polk St,2019,8461
Orleans St & Chestnut St (NEXT Apts),2019,8400
Kimbark Ave & 53rd St,2019,8357
Honore St & Division St,2019,8284
Ritchie Ct & Banks St,2019,8238
Broadway & Sheridan Rd,2019,8193
Lincoln Ave & Roscoe St,2019,8162
Halsted St & Polk St,2019,8130
Ogden Ave & Race Ave,2019,8012
Calumet Ave & 18th St,2019,7845
Clifton Ave & Armitage Ave,2019,7806
Canal St & Taylor St,2019,7775
State St & Harrison St,2019,7765
Wells St & Walton St,2019,7740
Clark St & Winnemac Ave,2019,7688
Damen Ave & Division St,2019,7678
MLK Jr Dr & 29th St,2019,7646
Clark St & Grace St,2019,7638
Lincoln Ave & Diversey Pkwy,2019,7580
Clarendon Ave & Gordon Ter,2019,7554
Broadway & Wilson Ave,2019,7550
Ada St & Washington Blvd,2019,7549
Larrabee St & Armitage Ave,2019,7542
Halsted St & Willow St,2019,7535
Fort Dearborn Dr & 31st St,2019,7425
Racine Ave & Belmont Ave,2019,7387
Shore Dr & 55th St,2019,7360
May St & Taylor St,2019,7343
Sheridan Rd & Montrose Ave,2019,7325
Ellis Ave & 60th St,2019,7261
Greenview Ave & Fullerton Ave,2019,7252
Carpenter St & Huron St,2019,7062
Paulina Ave & North Ave,2019,7021
Clark St & Berwyn Ave,2019,6986
Halsted St & Maxwell St,2019,6894
Clinton St & Tilden St,2019,6849
LaSalle Dr & Huron St,2019,6743
LaSalle St & Adams St,2019,6705
Noble St & Milwaukee Ave,2019,6656
900 W Harrison St,2019,6643
State St & 33rd St,2019,6639
Lincoln Ave & Belmont Ave,2019,6614
Southport Ave & Wrightwood Ave,2019,6602
Delano Ct & Roosevelt Rd,2019,6495
Halsted St & Roosevelt Rd,2019,6454
Eckhart Park,2019,6427
Ashland Ave & Blackhawk St,2019,6422
Damen Ave & Thomas St (Augusta Blvd),2019,6415
Artesian Ave & Hubbard St,2019,6275
Blue Island Ave & 18th St,2019,6266
Buckingham Fountain,2019,6261
Racine Ave & Congress Pkwy,2019,6190
Western Ave & Walton St,2019,6149
Cannon Dr & Fullerton Ave,2019,6135
Clybourn Ave & Division St,2019,6082
Canal St & Monroe St (*),2019,6059
Wood St & Taylor St,2019,6019
Lakefront Trail & Wilson Ave,2019,5924
Cornell Ave & Hyde Park Blvd,2019,5859
Halsted St & Clybourn Ave (*),2019,5855
Clinton St & Roosevelt Rd,2019,5813
Franklin St & Adams St (Temp),2019,5786
Franklin St & Quincy St,2019,5766
Ellis Ave & 58th St,2019,5747
Paulina St & Flournoy St,2019,5723
Ashland Ave & Chicago Ave,2019,5660
Franklin St & Chicago Ave (Temp),2019,5631
McCormick Place,2019,5628
Damen Ave & Leland Ave,2019,5602
Racine Ave & Randolph St,2019,5584
Southport Ave & Irving Park Rd,2019,5558
Southport Ave & Belmont Ave,2019,5550
Lake Park Ave & 56th St,2019,5440
Racine Ave & Wrightwood Ave,2019,5414
Clark St & Leland Ave,2019,5410
Western Ave & Leland Ave,2019,5370
Broadway & Berwyn Ave,2019,5356
Wood St & Augusta Blvd,2019,5322
Benson Ave & Church St,2019,5306
Broadway & Argyle St,2019,5294
Leavitt St & North Ave,2019,5180
Marine Dr & Ainslie St,2019,5172
Clarendon Ave & Junior Ter,2019,5075
Ashland Ave & Wrightwood Ave,2019,5074
Ashland Ave & Augusta Blvd,2019,5055
Larrabee St & Menomonee St,2019,5040
Sangamon St & Washington Blvd,2019,4992
Orleans St & Hubbard St,2019,4971
Hermitage Ave & Polk St,2019,4902
Racine Ave & 18th St,2019,4831
Buckingham Fountain (Temp),2019,4769
Wood St & Chicago Ave (*),2019,4766
Ashland Ave & Grace St,2019,4680
Financial Pl & Ida B Wells Dr,2019,4634
Damen Ave & Grand Ave,2019,4538
Lincoln Ave & Sunnyside Ave,2019,4528
Ashland Ave & Grand Ave,2019,4464
Sheridan Rd & Buena Ave,2019,4427
Ravenswood Ave & Irving Park Rd,2019,4419
Clark St & Montrose Ave,2019,4413
Broadway & Granville Ave,2019,4406
Broadway & Thorndale Ave,2019,4393
Ellis Ave & 53rd St,2019,4369
Campbell Ave & North Ave,2019,4367
Damen Ave & Charleston St,2019,4362
Racine Ave & Washington Blvd (*),2019,4362
Western Ave & Division St,2019,4356
Clark St & 9th St (AMLI),2019,4347
Broadway & Ridge Ave,2019,4319
Morgan Ave & 14th Pl,2019,4266
Loomis St & Jackson Blvd,2019,4176
Winthrop Ave & Lawrence Ave,2019,4169
Lake Park Ave & 53rd St,2019,4161
Greenview Ave & Diversey Pkwy,2019,4157
Logan Blvd & Elston Ave,2019,4144
Morgan St & 18th St,2019,4137
Lincoln Ave & Belle Plaine Ave,2019,4121
Clark St & Bryn Mawr Ave,2019,4110
Lincoln Ave & Waveland Ave,2019,4082
California Ave & Cortez St,2019,4079
Calumet Ave & 21st St,2019,3973
Fairbanks St & Superior St,2019,3971
Dearborn St & Van Buren St,2019,3941
Larrabee St & North Ave,2019,3936
Woodlawn Ave & 55th St,2019,3925
Sangamon St & Washington Blvd (*),2019,3907
Sedgwick St & Schiller St,2019,3861
Wood St & Hubbard St,2019,3858
Kedzie Ave & Palmer Ct,2019,3842
Franklin St & Illinois St,2019,3821
Albany Ave & Bloomingdale Ave,2019,3790
Leavitt St & Armitage Ave,2019,3784
Humboldt Blvd & Armitage Ave,2019,3763
Leavitt St & Chicago Ave,2019,3761
Sheridan Rd & Loyola Ave,2019,3744
Wentworth Ave & Cermak Rd (Temp),2019,3740
Orleans St & Hubbard St (*),2019,3711
Museum of Science and Industry,2019,3664
Damen Ave & Foster Ave,2019,3634
Seeley Ave & Roscoe St,2019,3627
Ashland Ave & Wellington Ave,2019,3598
Sheridan Rd & Lawrence Ave,2019,3584
LaSalle Dr & Huron St (*),2019,3545
Ashland Ave & Lake St,2019,3533
Spaulding Ave & Armitage Ave,2019,3533
Financial Pl & Ida B Wells Dr (Temp),2019,3518
Walsh Park,2019,3498
Damen Ave & Wellington Ave,2019,3486
Clarendon Ave & Leland Ave,2019,3453
Damen Ave & Clybourn Ave,2019,3414
Elizabeth (May) St & Fulton St,2019,3399
Paulina St & 18th St,2019,3392
Lincoln Park Conservatory,2019,3390
Blackstone Ave & Hyde Park Blvd,2019,3383
Throop (Loomis) St & Taylor St,2019,3379
Canal St & Harrison St,2019,3371
Emerald Ave & 31st St,2019,3304
Claremont Ave & Hirsch St,2019,3249
California Ave & North Ave,2019,3212
Harper Ave & 59th St,2019,3182
Indiana Ave & 31st St,2019,3057
Fairbanks St & Superior St (*),2019,3048
Glenwood Ave & Morse Ave,2019,3044
Sheridan Rd & Noyes St (NU),2019,3043
Wabash Ave & Cermak Rd,2019,3035
Clark St & Lunt Ave,2019,3029
Winchester Ave & Elston Ave,2019,3016
Calumet Ave & 33rd St,2019,3003
Milwaukee Ave & Rockwell St,2019,2985
Ravenswood Ave & Berteau Ave,2019,2918
California Ave & Francis Pl,2019,2866
Chicago Ave & Washington St,2019,2851
Orleans St & Elm St,2019,2800
Ashland Ave & Belle Plaine Ave,2019,2742
Southport Ave & Clark St,2019,2691
Racine Ave (May St) & Fulton St,2019,2681
Dearborn St & Van Buren St (*),2019,2661
State St & 19th St,2019,2650
Elston Ave & Wabansia Ave,2019,2629
State St & 35th St,2019,2627
Western Ave & Fillmore St (*),2019,2627
Western Ave & Roscoe St,2019,2589
Leavitt St & Division St (*),2019,2576
Paulina St & Montrose Ave,2019,2564
Clinton St & 18th St,2019,2560
Leavitt St & Lawrence Ave,2019,2538
Stave St & Armitage Ave,2019,2529
Campbell Ave & Fullerton Ave,2019,2503
California Ave & Altgeld St,2019,2499
Campbell Ave & Montrose Ave,2019,2469
Clark St & Elmdale Ave,2019,2449
Lake Park Ave & 35th St,2019,2446
University Library (NU),2019,2445
Paulina St & Howard St,2019,2424
Damen Ave & Sunnyside Ave,2019,2384
Damen Ave & Melrose Ave,2019,2371
Wolcott (Ravenswood) Ave & Montrose Ave,2019,2355
Talman Ave & Addison St,2019,2346
Lincoln Ave & Addison St,2019,2285
Richmond St & Diversey Ave,2019,2274
Drake Ave & Fullerton Ave,2019,2243
Indiana Ave & 26th St,2019,2227
Halsted St & 18th St,2019,2206
Wells St & 19th St,2019,2185
Ashland Ave & Lake St (Temp),2019,2179
Damen Ave & Madison St,2019,2126
California Ave & Division St,2019,2108
Emerald Ave & 28th St,2019,2080
Central Park Ave & Bloomingdale Ave,2019,2072
Eastlake Ter & Rogers Ave,2019,2041
Kosciuszko Park,2019,2007
Shields Ave & 31st St,2019,2000
Ashland Ave & 13th St,2019,1998
Orleans St & Elm St (*),2019,1993
Chicago Ave & Sheridan Rd,2019,1991
Racine Ave & 15th St,2019,1953
Loomis St & Taylor St (*),2019,1944
Rhodes Ave & 32nd St,2019,1943
Lake Park Ave & 47th St,2019,1935
Troy St & Elston Ave,2019,1918
Halsted St & Archer Ave,2019,1903
May St & Cullerton St,2019,1893
Halsted St & North Branch St,2019,1855
Damen Ave & Walnut (Lake) St (*),2019,1852
Oakley Ave & Irving Park Rd,2019,1845
Washtenaw Ave & Lawrence Ave,2019,1828
Western Ave & Congress Pkwy,2019,1822
Chicago Ave & Dempster St,2019,1803
Morgan St & 31st St,2019,1800
Sheridan Rd & Columbia Ave,2019,1786
Avondale Ave & Irving Park Rd,2019,1778
California Ave & Fletcher St,2019,1769
Winchester (Ravenswood) Ave & Balmoral Ave,2019,1753
Rockwell St & Eastwood Ave,2019,1752
Greenview Ave & Jarvis Ave,2019,1733
Leavitt St & Addison St,2019,1725
California Ave & Montrose Ave,2019,1722
Damen Ave & Cullerton St,2019,1684
Kimball Ave & Belmont Ave,2019,1678
Wentworth Ave & 35th St,2019,1677
Drake Ave & Addison St,2019,1624
Ogden Ave & Congress Pkwy,2019,1621
Western Ave & Monroe St,2019,1608
Leavitt St & Belmont Ave (*),2019,1586
Hoyne Ave & Balmoral Ave,2019,1564
Malcolm X College,2019,1552
Lincoln Ave & Winona St,2019,1548
Sheridan Rd & Greenleaf Ave,2019,1543
Ogden Ave & Roosevelt Rd,2019,1540
Francisco Ave & Foster Ave,2019,1526
Central Park Ave & Elbridge Ave,2019,1513
Greenwood Ave & 47th St,2019,1510
Central St Metra,2019,1509
Clark St & Columbia Ave,2019,1495
Halsted St & 21st St,2019,1460
Troy St & North Ave,2019,1459
Wentworth Ave & 33rd St,2019,1442
Wolcott (Ravenswood) Ave & Montrose Ave (*),2019,1375
Clark St & Schreiber Ave,2019,1361
Prairie Ave & Garfield Blvd,2019,1353
Woodlawn Ave & Lake Park Ave,2019,1308
Western Ave & Lunt Ave,2019,1282
Loomis St & Archer Ave,2019,1229
Kedzie Ave & Leland Ave,2019,1219
63rd St Beach,2019,1211
Western Ave & 21st St,2019,1208
Christiana Ave & Lawrence Ave,2019,1195
Ashland Ave & 21st St,2019,1194
Clinton St & Polk St,2019,1191
Wallace St & 35th St,2019,1163
California Ave & Byron St,2019,1157
Avers Ave & Belmont Ave,2019,1140
Manor Ave & Leland Ave,2019,1119
Normal Ave & Archer Ave,2019,1116
Clinton St & Polk St (*),2019,1090
Glenwood Ave & Touhy Ave,2019,1085
Central St & Girard Ave,2019,1069
Monticello Ave & Irving Park Rd,2019,1056
Central Park Ave & North Ave,2019,1046
Racine Ave & 13th St,2019,1039
Drake Ave & Montrose Ave,2019,1025
Smith Park (*),2019,1016
Dodge Ave & Church St,2019,995
Albany Ave & Montrose Ave,2019,994
MLK Jr Dr & Pershing Rd,2019,991
Shields Ave & 28th Pl,2019,988
Kedzie Ave & Foster Ave,2019,967
Warren Park East,2019,967
Calumet Ave & 35th St,2019,965
Sawyer Ave & Irving Park Rd,2019,961
Cottage Grove Ave & 47th St,2019,946
Elmwood Ave & Austin St,2019,944
Spaulding Ave & Division St,2019,938
Wentworth Ave & 24th St (Temp),2019,928
California Ave & 23rd Pl,2019,910
Cottage Grove Ave & 51st St,2019,885
Ridge Blvd & Touhy Ave,2019,860
South Shore Dr & 71st St,2019,860
California Ave & 21st St,2019,839
Kedzie Ave & Lake St,2019,820
Cottage Grove Ave & 43rd St,2019,776
Halsted St & 37th St,2019,773
Keystone Ave & Fullerton Ave,2019,772
Western Ave & Howard St,2019,764
Lincolnwood Dr & Central St,2019,751
California Ave & Lake St,2019,748
Halsted St & 35th St,2019,748
Cottage Grove Ave & Oakwood Blvd,2019,740
Dorchester Ave & 49th St,2019,740
Western Ave & Granville Ave,2019,723
State St & 29th St,2019,717
St. Louis Ave & Balmoral Ave,2019,699
Prairie Ave & 43rd St,2019,697
Clark St & Jarvis Ave,2019,694
Racine Ave & 35th St,2019,687
Calumet Ave & 51st St,2019,677
South Shore Dr & 67th St,2019,675
Conservatory Dr & Lake St,2019,674
Warren Park West,2019,673
Kedzie Ave & Chicago Ave,2019,669
Washtenaw Ave & Ogden Ave,2019,660
Kilbourn Ave & Milwaukee Ave,2019,649
Bernard St & Elston Ave,2019,638
Pulaski Rd & Eddy St (Temp),2019,626
Knox Ave & Montrose Ave,2019,616
Western Ave & 24th St,2019,614
Ashland Ave & Archer Ave,2019,596
DuSable Museum,2019,582
Ashland Ave & McDowell Ave,2019,580
California Ave & Francis Pl (Temp),2019,577
Keystone Ave & Montrose Ave,2019,575
Ridge Blvd & Howard St,2019,575
Milwaukee Ave & Cuyler Ave,2019,573
Kedzie Ave & Bryn Mawr Ave,2019,555
Sacramento Blvd & Franklin Blvd,2019,550
Budlong Woods Library,2019,543
Cherry Ave & Blackhawk St,2019,543
Wentworth Ave & 24th St,2019,530
Kilbourn Ave & Irving Park Rd,2019,513
2112 W Peterson Ave,2019,506
Bosworth Ave & Howard St,2019,500
Dorchester Ave & 63rd St,2019,462
Leavitt St & Archer Ave,2019,462
Evanston Civic Center,2019,456
Princeton Ave & Garfield Blvd,2019,442
Kedzie Ave & 21st St,2019,438
Austin Blvd & Lake St,2019,435
Valli Produce - Evanston Plaza,2019,424
Washtenaw Ave & Ogden Ave (*),2019,421
Clark St & Touhy Ave,2019,420
Oakley Ave & Touhy Ave,2019,420
Cottage Grove Ave & 63rd St,2019,407
Jeffery Blvd & 67th St,2019,398
Dodge Ave & Mulford St,2019,390
Kildare Ave & Montrose Ave,2019,387
MLK Jr Dr & 47th St,2019,387
Indiana Ave & 40th St,2019,385
Fairfield Ave & Roosevelt Rd,2019,379
Archer (Damen) Ave & 37th St,2019,368
Ashland Ave & Pershing Rd,2019,357
Princeton Ave & 47th St,2019,344
Halsted St & 35th St (*),2019,338
Union Ave & Root St,2019,334
Wood St & 35th St,2019,328
South Shore Dr & 74th St,2019,319
Maplewood Ave & Peterson Ave,2019,289
Racine Ave & Garfield Blvd,2019,265
Halsted St & 47th Pl,2019,256
Western Ave & 28th St,2019,242
Wolcott Ave & Fargo Ave,2019,242
Stony Island Ave & 64th St,2019,241
Central Park Ave & Ogden Ave,2019,240
Albany Ave & 26th St,2019,235
Western Blvd & 48th Pl,2019,234
Cornell Dr & Hayes Dr,2019,224
State St & 79th St,2019,218
Hoyne Ave & 47th St,2019,215
State St & Pershing Rd,2019,213
Jeffery Blvd & 71st St,2019,207
Damen Ave & Coulter St,2019,204
Stony Island Ave & 71st St,2019,202
Stony Island Ave & 67th St,2019,201
Kedzie Ave & Roosevelt Rd,2019,194
Austin Blvd & Madison St,2019,185
Eberhart Ave & 61st St,2019,181
Central Ave & Chicago Ave,2019,177
Halsted St & 63rd St,2019,170
Rainbow Beach,2019,168
California Ave & 26th St,2019,166
MLK Jr Dr & 83rd St,2019,162
Millard Ave & 26th St,2019,161
Damen Ave & Pershing Rd,2019,158
Cottage Grove Ave & 67th St,2019,152
Archer (Damen) Ave & 37th St (*),2019,146
Kedzie Ave & Harrison St,2019,144
Laramie Ave & Madison St,2019,144
MLK Jr Dr & 56th St,2019,136
Wentworth Ave & 63rd St,2019,133
MLK Jr Dr & 63rd St,2019,131
Central Ave & Madison St,2019,129
Pulaski Rd & Lake St,2019,126
