start_station_name,year,number_of_rides
Kedzie Ave & Harrison St,2021,165
State St & 123rd St,2021,164
Western Ave & 111th St,2021,164
Loomis Blvd & 84th St,2021,157
W Washington Blvd & N Peoria St,2021,156
Stony Island Ave & South Chicago Ave,2021,153
Cottage Grove Ave & 78th St,2021,152
Laramie Ave & Madison St,2021,151
Greenwood Ave & 79th St,2021,150
Laramie Ave & Kinzie St,2021,150
Stewart Ave & 83rd St,2021,150
Cottage Grove Ave & 111th Pl,2021,148
Long & Irving Park,2021,148
Central Park Ave & 24th St,2021,146
Cottage Grove Ave & 71st St,2021,146
Cicero Ave & Lake St,2021,145
Clyde Ave & 87th St,2021,144
Stony Island Ave & 90th St,2021,141
Central Ave & Harrison St,2021,139
Homewood Ave & 115th St,2021,138
East End Ave & 87th St,2021,134
Elizabeth St & 92nd St,2021,134
Western Ave & 104th St,2021,134
Broadway & Wilson Ave,2021,132
Commercial Ave & 130th St,2021,132
Eggleston Ave & 92nd St,2021,131
Major Taylor Trail & 115th St,2021,131
Ashland Ave & 50th St,2021,130
Ashland Ave & 63rd St,2021,129
Kostner Ave & Adams St,2021,129
Vernon Ave & 75th St,2021,126
Pulaski Rd & Congress Pkwy,2021,125
Stewart Ave & 63rd St,2021,124
Eggleston Ave & 69th St,2021,123
Western & 28th - Velasquez Institute Vaccination Site,2021,123
Evans Ave & 75th St,2021,122
N Paulina St & Lincoln Ave,2021,122
Shields Ave & 43rd St,2021,122
Marquette Ave & 89th St,2021,121
Damen Ave & 59th St,2021,113
Latrobe Ave & Chicago Ave,2021,110
Bradley Park,2021,109
Racine Ave & Garfield Blvd,2021,109
Commercial Ave & 83rd St,2021,108
Lockwood Ave & Wrightwood Ave,2021,104
Karlov Ave & Madison St,2021,103
Halsted St & 96th St,2021,102
Ashland Ave & Garfield Blvd,2021,101
Indiana Ave & 103rd St,2021,101
South Chicago Ave & 83rd St,2021,101
Ashland Ave & 74th St,2021,99
May St & 69th St,2021,99
Milwaukee Ave & Fullerton Ave,2021,99
Houston Ave & 92nd St,2021,98
Halsted St & 51st St,2021,96
Kilbourn & Roscoe,2021,96
Dauphin Ave & 103rd St,2021,95
Major Taylor Trail & 124th St,2021,95
Vincennes Ave & 104th St,2021,95
Oglesby Ave & 100th St,2021,94
Avenue O & 134th St,2021,93
Ewing Ave & Burnham Greenway,2021,92
Michigan Ave & 71st St,2021,92
Damen Ave & 51st St,2021,89
Phillips Ave & 83rd St,2021,89
Halsted St & 56th St,2021,87
Ashland Ave & 78th St,2021,86
Long Ave & Belmont Ave,2021,86
Kenton Ave & Madison St,2021,85
Halsted St & 78th St,2021,84
Kostner Ave & Wrightwood Ave,2021,83
Vernon Ave & 107th St,2021,83
Avenue O & 118th St,2021,82
Bennett Ave & 79th St,2021,82
Elizabeth St & 47th St,2021,82
Kedzie Ave & 110th St,2021,82
WEST CHI-WATSON,2021,82
Halsted St & 111th St,2021,81
Loomis St & 89th St,2021,81
Summit Ave & 86th St,2021,81
Yates Blvd & 93rd St,2021,80
Halsted St & 73rd St,2021,79
Kostner Ave & Lake St,2021,79
Cicero Ave & Flournoy St,2021,78
Constance Ave & 95th St,2021,76
Halsted St & 104th St,2021,76
Michigan Ave & 114th St,2021,76
Throop St & 52nd St,2021,76
Cicero Ave & Quincy St,2021,75
Wentworth Ave & 104th St,2021,75
Calumet Ave & 71st St,2021,74
Halsted St & 69th St,2021,74
Eberhart Ave & 131st St,2021,73
Rhodes Ave & 71st St,2021,73
Ashland Ave & 66th St,2021,70
Narragansett & Wrightwood,2021,70
Kilbourn & Belden,2021,69
Meade Ave & Addison St,2021,69
Oak Park & Wellington,2021,69
Mulligan Ave & Wellington Ave,2021,67
Lamon Ave & Belmont Ave,2021,63
Laramie Ave & Gladys Ave,2021,63
MLK Jr Dr & 83rd St,2021,63
Seeley Ave & Garfield Blvd,2021,63
Hegewisch Metra Station,2021,62
Kilpatrick Ave & Parker Ave,2021,62
Mason Ave & Belmont Ave,2021,62
Spaulding Ave & 16th St,2021,61
Vincennes Ave & 75th St,2021,61
Nordica & Medill,2021,60
Elston Ave & George St,2021,59
Lawndale Ave & 30th St,2021,58
Ada St & 113th St,2021,55
Central Park Ave & Douglas Blvd,2021,54
Wabash Ave & 83rd St,2021,54
Altgeld Gardens,2021,53
Marshfield Ave & 59th St,2021,53
Plainfield & Irving Park,2021,51
Rockwell St & Fletcher St,2021,51
Narragansett Ave & School St,2021,50
Western Ave & Gunnison St,2021,50
Kedzie Ave & George St,2021,49
Torrence Ave & 106th St,2021,49
W 103rd St & S Avers Ave,2021,49
Central Ave & Roscoe St,2021,48
Lamon Ave & Armitage Ave,2021,48
Lavergne & Fullerton,2021,48
Albany Ave & Belmont Ave,2021,47
Homan Ave & Fillmore St,2021,47
Greenwood Ave & 91st St,2021,46
Woodlawn Ave & 75th St,2021,46
Racine Ave & 65th St,2021,44
Commercial Ave & 100th St,2021,43
Meade Ave & Diversey Ave,2021,43
Harlem & Irving Park,2021,42
Oketo Ave & Addison St,2021,41
Troy St & Grace St,2021,41
Racine Ave & 61st St,2021,40
Torrence Ave & 126th Pl,2021,40
Tripp Ave & 31st St,2021,40
Central Ave & Parker Ave,2021,39
Elizabeth St & 59th St,2021,39
Halsted St & 59th St,2021,39
Long Ave & Belden Ave,2021,38
Narragansett & Irving Park,2021,38
Sayre & Diversey,2021,38
Keeler Ave & Roosevelt Rd,2021,36
Lincoln Ave & Balmoral Ave,2021,36
Orange & Addison,2021,36
Carpenter St & 63rd St,2021,34
State St & 76th St,2021,34
Major Ave & Bloomingdale Ave,2021,33
South Chicago Ave & Elliot Ave,2021,31
Elston Ave & Henderson St,2021,30
Kedzie Ave & 52nd St,2021,30
Komensky Ave & 31st St,2021,30
Malcolm X College,2021,30
Kedzie Ave & 48th Pl,2021,29
Lawler Ave & 50th St,2021,28
Pulaski Rd & 21st St,2021,28
California Ave & Winona St,2021,26
Rockwell St & Archer Ave,2021,26
Maryland Ave & 104th St,2021,24
North Ave & New England Ave,2021,24
Lavergne Ave & Division St,2021,23
Menard Ave & Division St,2021,23
Roscoe & Harlem,2021,23
Harlem Ave & Grace St,2021,22
Western Ave & Grace St,2021,22
Artesian Ave & 55th St,2021,21
Bloomingdale Ave & Harlem Ave,2021,21
Cicero Ave & Grace St,2021,21
Pulaski Rd & 51st St,2021,21
Rockwell St & 57th St,2021,21
Harding Ave & 26th St,2021,20
Kenosha & Wellington,2021,20
Sacramento Ave & Pershing Rd,2021,20
State St & Chicago Ave,2021,20
Virginia Ave & Catalpa Ave,2021,20
Kedzie Ave & 104th St,2021,19
Kedzie Ave & 57th St,2021,19
Rockwell St & Cermak Rd,2021,19
Tripp Ave & 15th St,2021,18
Tripp Ave & 65th St,2021,18
Damen Ave & 33rd St,2021,17
Hoyne Ave & 34th St,2021,17
Kildare Ave & Division St,2021,17
Panama Ave & Grace St,2021,17
Francisco Ave & Bloomingdale Ave,2021,16
Lawndale Ave & 16th St,2021,16
Narragansett & McLean,2021,16
Ping Tom Park (East),2021,16
S Aberdeen St & W 106th St,2021,16
Woodlawn & 103rd - Olive Harvey Vaccination Site,2021,16
Archer Ave & 43rd St,2021,15
Central Park & Augusta Blvd,2021,15
Monticello Ave & Chicago Ave,2021,15
Richmond St & 59th St,2021,15
Spaulding Ave & 63rd St,2021,15
Parkside Ave & Armitage Ave,2021,14
Long Ave & North Ave,2021,13
Richmond St & Lincoln Ave,2021,13
Sacramento Blvd & Addison St,2021,13
Fairfield Ave & 44th St,2021,12
Whipple/Irving Park,2021,12
Central Park Ave & Ohio St,2021,11
Francisco Ave & Montrose Ave,2021,11
Kenneth Ave & 50th St,2021,11
Kildare Ave & Chicago Ave,2021,11
Kostner Ave & 63rd St,2021,11
Maplewood Ave & 59th St,2021,11
Mozart St & Jackson Blvd,2021,11
N Clark St & W Elm St,2021,11
N Damen Ave & W Chicago Ave,2021,11
St Louis Ave & Norman Bobbins Ave,2021,11
Kilpatrick Ave & Grand Ave,2021,10
Lavergne Ave & 46th St,2021,10
Leamington Ave & Hirsch St,2021,10
Western Ave & 62nd St,2021,10
California Ave & 36th St,2021,9
Doty Ave & 111th St,2021,9
Hamlin Ave & 62nd Pl,2021,9
Sacramento Blvd & Fulton Ave,2021,9
Springfield Ave & 47th St,2021,9
Avenue L & 114th St,2021,8
Kildare Ave & 26th St,2021,8
Komensky Ave & 55th St,2021,8
Pulaski Rd & 60th St,2021,7
Lamon Ave & Chicago Ave,2021,6
Western Ave & Lake St,2021,6
Francisco Ave & 47th St,2021,5
Kildare Ave & 55th St,2021,5
Lincoln Ave & Peterson Ave,2021,5
Menard Ave & North Ave,2021,5
Pulaski & Ann Lurie Pl,2021,5
S Michigan Ave & E 118th St,2021,5
Western Ave & 28th St,2021,5
Augusta Blvd & Laramie Ave,2021,4
California Ave & Marquette Rd,2021,4
DIVVY CASSETTE REPAIR MOBILE STATION,2021,4
S Wentworth Ave & W 111th St,2021,4
St Louis Ave & 59th St,2021,4
Washtenaw Ave & Peterson Ave,2021,4
Western Ave & Ardmore Ave,2021,4
California Ave & 29th St,2021,3
Francisco Ave & Hollywood Ave,2021,3
Halsted St & 63rd St,2021,3
Kildare Ave & 47th St,2021,3
Sacramento Ave & 25th St,2021,3
Campbell Ave & 51st St,2021,2
Washtenaw Ave & Madison St,2021,2
351,2021,1
Indiana Ave & 133rd St,2021,1
Lyft Driver Center Private Rack,2021,1
N Hampden Ct & W Diversey Ave,2021,1
N Shore Channel Trail & Argyle Ave,2021,1
Olive Harvey College,2021,1
Sacramento Blvd & Polk St,2021,1
Throop/Hastings Mobile Station,2021,1
Streeter Dr & Grand Ave,2022,71269
DuSable Lake Shore Dr & Monroe St,2022,39251
DuSable Lake Shore Dr & North Blvd,2022,37698
Michigan Ave & Oak St,2022,37208
Wells St & Concord Ln,2022,34508
Millennium Park,2022,32849
Clark St & Elm St,2022,32560
Kingsbury St & Kinzie St,2022,31614
Theater on the Lake,2022,31283
Wells St & Elm St,2022,28978
Clark St & Armitage Ave,2022,26914
Broadway & Barry Ave,2022,26773
Wabash Ave & Grand Ave,2022,25767
Indiana Ave & Roosevelt Rd,2022,25534
Clark St & Lincoln Ave,2022,25319
Wilton Ave & Belmont Ave,2022,24700
Clinton St & Madison St,2022,24696
Dearborn St & Erie St,2022,24192
Clinton St & Washington Blvd,2022,24148
Shedd Aquarium,2022,24036
Wells St & Huron St,2022,23902
Clark St & Wrightwood Ave,2022,23873
St. Clair St & Erie St,2022,23349
Wells St & Hubbard St,2022,22684
Michigan Ave & Washington St,2022,22521
University Ave & 57th St,2022,22512
LaSalle St & Illinois St,2022,22124
Sheffield Ave & Fullerton Ave,2022,21908
Ellis Ave & 60th St,2022,21709
Clark St & Newport St,2022,21301
Ashland Ave & Division St,2022,21243
Loomis St & Lexington St,2022,21046
Canal St & Adams St,2022,21029
Clark St & Drummond Pl,2022,20967
Larrabee St & Webster Ave,2022,20838
DuSable Lake Shore Dr & Diversey Pkwy,2022,20770
Lakeview Ave & Fullerton Pkwy,2022,20618
Green St & Madison St,2022,20598
Michigan Ave & Lake St,2022,20349
New St & Illinois St,2022,20154
Wabash Ave & Roosevelt Rd,2022,20081
Broadway & Waveland Ave,2022,20000
Dearborn Pkwy & Delaware Pl,2022,19945
Halsted St & Roscoe St,2022,19594
Broadway & Cornelia Ave,2022,19572
McClurg Ct & Ohio St,2022,19565
Damen Ave & Pierce Ave,2022,19365
Halsted St & Clybourn Ave,2022,19298
Wells St & Evergreen Ave,2022,19274
Lincoln Ave & Fullerton Ave,2022,19141
Desplaines St & Kinzie St,2022,19053
Montrose Harbor,2022,19031
Sheffield Ave & Waveland Ave,2022,18912
Halsted St & Wrightwood Ave,2022,18877
Southport Ave & Roscoe St,2022,18735
State St & Chicago Ave,2022,18560
Clark St & Schiller St,2022,18473
DuSable Lake Shore Dr & Belmont Ave,2022,18422
Dusable Harbor,2022,18263
Fairbanks Ct & Grand Ave,2022,18193
DuSable Lake Shore Dr & Wellington Ave,2022,18144
Pine Grove Ave & Waveland Ave,2022,18091
Clinton St & Jackson Blvd,2022,17552
State St & Randolph St,2022,17464
Columbus Dr & Randolph St,2022,17253
Southport Ave & Waveland Ave,2022,17242
Larrabee St & Kingsbury St,2022,17074
Ellis Ave & 55th St,2022,16951
Clinton St & Lake St,2022,16875
Federal St & Polk St,2022,16793
Sheridan Rd & Irving Park Rd,2022,16764
Michigan Ave & 8th St,2022,16758
Dearborn St & Monroe St,2022,16502
Sheffield Ave & Wellington Ave,2022,16442
Wilton Ave & Diversey Pkwy,2022,16425
Kingsbury St & Erie St,2022,16417
Peoria St & Jackson Blvd,2022,16355
Sheffield Ave & Webster Ave,2022,16230
Sheffield Ave & Wrightwood Ave,2022,16099
Clark St & Wellington Ave,2022,15893
Franklin St & Jackson Blvd,2022,15792
Rush St & Cedar St,2022,15764
Orleans St & Merchandise Mart Plaza,2022,15490
Adler Planetarium,2022,15398
Franklin St & Chicago Ave,2022,15357
Halsted St & Dickens Ave,2022,15285
Broadway & Belmont Ave,2022,15198
Stockton Dr & Wrightwood Ave,2022,14844
Halsted St & Polk St,2022,14795
Sedgwick St & North Ave,2022,14751
McClurg Ct & Erie St,2022,14736
Morgan St & Polk St,2022,14727
Mies van der Rohe Way & Chestnut St,2022,14688
Daley Center Plaza,2022,14631
State St & Kinzie St,2022,14538
Clark St & Lake St,2022,14486
Rush St & Superior St,2022,14485
Mies van der Rohe Way & Chicago Ave,2022,14349
Lincoln Ave & Diversey Pkwy,2022,14304
Pine Grove Ave & Irving Park Rd,2022,14157
Franklin St & Lake St,2022,14156
Clark St & Randolph St,2022,14040
Wabash Ave & 9th St,2022,14020
Kimbark Ave & 53rd St,2022,14011
Broadway & Sheridan Rd,2022,13983
Milwaukee Ave & Grand Ave,2022,13884
Ravenswood Ave & Lawrence Ave,2022,13865
Canal St & Madison St,2022,13808
Franklin St & Monroe St,2022,13767
Burling St & Diversey Pkwy,2022,13538
Clark St & Winnemac Ave,2022,13441
Sheridan Rd & Montrose Ave,2022,13397
Franklin St & Illinois St,2022,13309
Sedgwick St & Webster Ave,2022,13205
State St & 33rd St,2022,13091
Wood St & Milwaukee Ave,2022,12958
Racine Ave & Belmont Ave,2022,12937
LaSalle St & Jackson Blvd,2022,12823
Lakefront Trail & Bryn Mawr Ave,2022,12677
May St & Taylor St,2022,12631
Clarendon Ave & Gordon Ter,2022,12526
Sheffield Ave & Kingsbury St,2022,12482
Clark St & Grace St,2022,12472
Michigan Ave & Jackson Blvd,2022,12336
Racine Ave & Fullerton Ave,2022,12245
Sedgwick St & Huron St,2022,12210
Southport Ave & Wellington Ave,2022,12007
LaSalle Dr & Huron St,2022,11988
Lincoln Park Conservatory,2022,11975
Clark St & North Ave,2022,11929
Cityfront Plaza Dr & Pioneer Ct,2022,11877
Wabash Ave & Wacker Pl,2022,11855
Canal St & Monroe St,2022,11822
Greenview Ave & Fullerton Ave,2022,11658
Ritchie Ct & Banks St,2022,11574
Kedzie Ave & Milwaukee Ave,2022,11508
Stetson Ave & South Water St,2022,11479
Southport Ave & Belmont Ave,2022,11368
900 W Harrison St,2022,11346
Bissell St & Armitage Ave*,2022,11330
Aberdeen St & Jackson Blvd,2022,11317
Field Blvd & South Water St,2022,11254
Clark St & Chicago Ave,2022,11176
Michigan Ave & 14th St,2022,11093
California Ave & Milwaukee Ave,2022,11021
Halsted St & Willow St,2022,10961
Southport Ave & Wrightwood Ave,2022,10922
Clarendon Ave & Junior Ter,2022,10899
Milwaukee Ave & Wabansia Ave,2022,10893
Damen Ave & Cortland St,2022,10876
Shore Dr & 55th St,2022,10845
Desplaines St & Jackson Blvd,2022,10825
Larrabee St & Division St,2022,10810
Dayton St & North Ave,2022,10701
Ogden Ave & Chicago Ave,2022,10694
Sheffield Ave & Willow St,2022,10565
Honore St & Division St,2022,10519
Desplaines St & Randolph St,2022,10489
Canal St & Jackson Blvd,2022,10446
Wolcott Ave & Polk St,2022,10224
Wells St & Polk St,2022,10071
Carpenter St & Huron St,2022,10051
Michigan Ave & Madison St,2022,10046
Burnham Harbor,2022,10037
Halsted St & Maxwell St,2022,9998
Aberdeen St & Randolph St,2022,9929
Wells St & Walton St,2022,9926
Clark St & Berwyn Ave,2022,9875
Green St & Randolph St*,2022,9864
Michigan Ave & Pearson St,2022,9848
Damen Ave & Chicago Ave,2022,9845
Clifton Ave & Armitage Ave,2022,9700
Southport Ave & Clybourn Ave,2022,9647
Wentworth Ave & Cermak Rd,2022,9452
Rush St & Hubbard St,2022,9315
Aberdeen St & Monroe St,2022,9313
Wabash Ave & Adams St,2022,9234
Michigan Ave & 18th St,2022,9220
Western Ave & Winnebago Ave,2022,9197
Franklin St & Adams St (Temp),2022,9122
Ogden Ave & Race Ave,2022,8939
Orleans St & Chestnut St (NEXT Apts),2022,8912
Ashland Ave & Blackhawk St,2022,8898
Sheridan Rd & Buena Ave,2022,8839
Ellis Ave & 58th St,2022,8824
Paulina St & Flournoy St,2022,8779
Morgan St & Lake St,2022,8776
State St & Van Buren St,2022,8737
Clark St & Leland Ave,2022,8684
Wacker Dr & Washington St,2022,8674
Field Museum,2022,8561
Sangamon St & Washington Blvd,2022,8551
LaSalle St & Washington St,2022,8539
Dearborn St & Adams St,2022,8519
Damen Ave & Division St,2022,8432
Larrabee St & Armitage Ave,2022,8426
MLK Jr Dr & 29th St,2022,8413
Eckhart Park,2022,8393
Financial Pl & Ida B Wells Dr,2022,8386
Lakefront Trail & Wilson Ave,2022,8333
Calumet Ave & 18th St,2022,8263
Orleans St & Hubbard St,2022,8225
Woodlawn Ave & 55th St,2022,8194
Fort Dearborn Dr & 31st St,2022,8193
Broadway & Wilson - Truman College Vaccination Site,2022,8186
Clinton St & Roosevelt Rd,2022,8020
Elston Ave & Cortland St,2022,8019
Broadway & Argyle St,2022,7964
Paulina Ave & North Ave,2022,7923
Wabash Ave & 16th St,2022,7921
Jefferson St & Monroe St,2022,7811
Noble St & Milwaukee Ave,2022,7782
Cornell Ave & Hyde Park Blvd,2022,7694
Walsh Park,2022,7678
Southport Ave & Irving Park Rd,2022,7661
Fairbanks St & Superior St,2022,7610
Sangamon St & Lake St,2022,7564
Halsted St & Roosevelt Rd,2022,7563
Ada St & Washington Blvd,2022,7562
Damen Ave & Thomas St (Augusta Blvd),2022,7540
Racine Ave & Wrightwood Ave,2022,7485
Throop St & Taylor St,2022,7431
Larrabee St & Oak St,2022,7419
Broadway & Berwyn Ave,2022,7373
Clark St & Bryn Mawr Ave,2022,7369
Racine Ave & Congress Pkwy,2022,7314
Calumet Ave & 33rd St,2022,7311
Michigan Ave & Ida B Wells Dr,2022,7281
State St & Harrison St,2022,7206
State St & Pearson St,2022,7176
Western Ave & Leland Ave,2022,6968
Clybourn Ave & Division St,2022,6958
Lake Park Ave & 56th St,2022,6903
Buckingham Fountain,2022,6890
Marine Dr & Ainslie St,2022,6884
Clarendon Ave & Leland Ave,2022,6842
Ashland Ave & Augusta Blvd,2022,6771
Delano Ct & Roosevelt Rd,2022,6746
Western Ave & Walton St,2022,6726
Wood St & Chicago Ave,2022,6705
Dearborn St & Van Buren St,2022,6691
Larrabee St & North Ave,2022,6667
Ashland Ave & Grace St,2022,6663
Broadway & Thorndale Ave,2022,6641
Racine Ave & 18th St,2022,6588
Broadway & Ridge Ave,2022,6544
Lake Park Ave & 53rd St,2022,6516
Canal St & Taylor St,2022,6503
Greenview Ave & Diversey Pkwy,2022,6458
Ashland Ave & Wellington Ave,2022,6409
Broadway & Granville Ave,2022,6404
Lincoln Ave & Roscoe St*,2022,6344
Bissell St & Armitage Ave,2022,6258
Sheridan Rd & Lawrence Ave,2022,6229
Clark St & Montrose Ave,2022,6185
Leavitt St & North Ave,2022,6152
Emerald Ave & 31st St,2022,6150
Cannon Dr & Fullerton Ave,2022,6133
Clark St & Ida B Wells Dr,2022,6133
Winthrop Ave & Lawrence Ave,2022,5982
Loomis St & Jackson Blvd,2022,5914
Ashland Ave & Wrightwood Ave,2022,5853
Wood St & Taylor St (Temp),2022,5817
Ashland Ave & Chicago Ave,2022,5782
N Green St & W Lake St,2022,5752
California Ave & Cortez St,2022,5750
McCormick Place,2022,5730
Ashland Ave & Grand Ave,2022,5692
Campbell Ave & North Ave,2022,5629
Clark St & 9th St (AMLI),2022,5629
Seeley Ave & Roscoe St,2022,5616
Blue Island Ave & 18th St,2022,5526
Larrabee St & Menomonee St,2022,5443
Damen Ave & Charleston St,2022,5442
Morgan St & 18th St,2022,5427
Lincoln Ave & Belmont Ave (Temp),2022,5408
Logan Blvd & Elston Ave,2022,5384
Racine Ave & Washington Blvd,2022,5365
Lincoln Ave & Sunnyside Ave,2022,5349
Wood St & Augusta Blvd,2022,5298
Racine Ave & Randolph St,2022,5297
Ellis Ave & 53rd St,2022,5294
Western Ave & Fillmore St,2022,5290
Morgan St & Lake St*,2022,5273
Lincoln Ave & Belle Plaine Ave,2022,5246
Hermitage Ave & Polk St,2022,5173
Damen Ave & Grand Ave,2022,5172
Sheridan Rd & Noyes St (NU),2022,5160
Ravenswood Ave & Irving Park Rd,2022,5043
Ashland Ave & Lake St,2022,5018
Damen Ave & Leland Ave,2022,4993
Harper Ave & 59th St,2022,4977
Wolcott (Ravenswood) Ave & Montrose Ave,2022,4920
Leavitt St & Armitage Ave,2022,4912
Orleans St & Elm St,2022,4893
Western Ave & Division St,2022,4867
Rhodes Ave & 32nd St,2022,4675
Humboldt Blvd & Armitage Ave,2022,4663
Benson Ave & Church St,2022,4648
Paulina St & 18th St,2022,4606
Damen Ave & Wellington Ave,2022,4604
Morgan Ave & 14th Pl,2022,4580
LaSalle St & Adams St,2022,4574
State St & 35th St,2022,4566
Leavitt St & Chicago Ave,2022,4513
Albany Ave & Bloomingdale Ave,2022,4484
California Ave & North Ave,2022,4466
Elizabeth (May) St & Fulton St,2022,4394
Green St & Randolph St,2022,4383
Leavitt St & Division St,2022,4375
Spaulding Ave & Armitage Ave,2022,4367
Chicago Ave & Sheridan Rd,2022,4301
Museum of Science and Industry,2022,4290
Sedgwick St & Schiller St,2022,4202
California Ave & Francis Pl (Temp),2022,4195
Wood St & Hubbard St,2022,4192
Milwaukee Ave & Rockwell St,2022,4170
Lincoln Ave & Waveland Ave,2022,4168
Damen Ave & Clybourn Ave,2022,4154
Blackstone Ave & Hyde Park Blvd,2022,4114
Sheridan Rd & Loyola Ave,2022,4113
Leavitt St & Belmont Ave,2022,4060
Clinton St & Tilden St,2022,4035
Damen Ave & Foster Ave,2022,4022
Calumet Ave & 21st St,2022,4011
Shields Ave & 31st St,2022,3976
Stave St & Armitage Ave,2022,3912
Glenwood Ave & Morse Ave,2022,3901
California Ave & Division St,2022,3872
Kedzie Ave & Palmer Ct,2022,3789
Ravenswood Ave & Berteau Ave,2022,3706
Paulina St & Montrose Ave,2022,3692
Western Ave & Congress Pkwy,2022,3665
Indiana Ave & 31st St,2022,3648
Halsted St & 18th St,2022,3560
Damen Ave & Melrose Ave,2022,3538
Damen Ave & Sunnyside Ave,2022,3500
Green St & Washington Blvd,2022,3416
Winchester Ave & Elston Ave,2022,3362
Lincoln Ave & Addison St,2022,3351
Artesian Ave & Hubbard St,2022,3346
Wabash Ave & Cermak Rd,2022,3333
Western Ave & Roscoe St,2022,3305
California Ave & Altgeld St,2022,3296
Racine Ave & Fullerton Ave (Temp),2022,3279
Clark St & Elmdale Ave,2022,3254
Morgan St & 31st St,2022,3240
Greenview Ave & Jarvis Ave,2022,3208
Ashland Ave & 13th St,2022,3192
Lincoln Ave & Roscoe St,2022,3191
Southport Ave & Clark St,2022,3139
Sheridan Rd & Columbia Ave,2022,3132
Canal St & Harrison St,2022,3120
Elston Ave & Wabansia Ave,2022,3090
Ogden Ave & Congress Pkwy,2022,3061
Racine Ave & 15th St,2022,3060
Talman Ave & Addison St,2022,3058
Sheridan Rd & Argyle St,2022,3048
California Ave & Montrose Ave,2022,3032
Clinton St & 18th St,2022,3022
Ashland Ave & Belle Plaine Ave,2022,3016
St. Louis Ave & Fullerton Ave,2022,2987
Rockwell St & Eastwood Ave,2022,2972
Chicago Ave & Washington St,2022,2963
Clark St & Schreiber Ave,2022,2943
Campbell Ave & Fullerton Ave,2022,2940
Wentworth Ave & 33rd St,2022,2938
California Ave & Fletcher St,2022,2911
Troy St & North Ave,2022,2905
Central Park Ave & Bloomingdale Ave,2022,2892
Leavitt St & Addison St,2022,2882
Damen Ave & Madison St,2022,2849
Damen Ave & Walnut (Lake) St,2022,2832
University Library (NU),2022,2797
Claremont Ave & Hirsch St,2022,2788
Campbell Ave & Montrose Ave,2022,2773
Clark St & Lunt Ave,2022,2769
Laflin St & Cullerton St,2022,2760
Lincoln Ave & Belmont Ave,2022,2738
Leavitt St & Lawrence Ave,2022,2724
Damen Ave & Cullerton St,2022,2683
Hampden Ct & Diversey Ave,2022,2678
Shields Ave & 28th Pl,2022,2671
Washtenaw Ave & Lawrence Ave,2022,2669
Emerald Ave & 28th St,2022,2663
Richmond St & Diversey Ave,2022,2662
State St & 19th St,2022,2600
May St & Cullerton St,2022,2559
Wilton Ave & Diversey Pkwy*,2022,2513
Central Park Ave & Elbridge Ave,2022,2499
Halsted St & 35th St,2022,2468
Lake Park Ave & 35th St,2022,2464
Indiana Ave & 26th St,2022,2427
Halsted St & Archer Ave,2022,2402
Milwaukee Ave & Fullerton Ave,2022,2391
Damen Ave & Wabansia Ave,2022,2355
Lake Park Ave & 47th St,2022,2311
Oakley Ave & Irving Park Rd,2022,2301
Spaulding Ave & Division St,2022,2289
Lincoln Ave & Winona St,2022,2277
Calumet Ave & 35th St,2022,2270
Buckingham Fountain (Temp),2022,2264
California Ave & Byron St,2022,2253
W Oakdale Ave & N Broadway,2022,2250
Paulina St & Howard St,2022,2240
Kosciuszko Park,2022,2209
Wells St & 19th St,2022,2198
Clark St & Columbia Ave,2022,2157
Hoyne Ave & Balmoral Ave,2022,2148
Kimball Ave & Belmont Ave,2022,2139
Francisco Ave & Foster Ave,2022,2100
N Carpenter St & W Lake St,2022,2083
Glenwood Ave & Touhy Ave,2022,2036
Wentworth Ave & 24th St (Temp),2022,2034
Cherry Ave & Blackhawk St,2022,2011
Western Ave & Monroe St,2022,2006
Winchester (Ravenswood) Ave & Balmoral Ave,2022,1983
Sheridan Rd & Greenleaf Ave,2022,1978
Troy St & Elston Ave,2022,1936
Greenwood Ave & 47th St,2022,1913
Wentworth Ave & 35th St,2022,1911
Halsted St & North Branch St,2022,1908
Broadway & Wilson Ave,2022,1900
Avers Ave & Belmont Ave,2022,1889
W Armitage Ave & N Sheffield Ave,2022,1854
Halsted St & 21st St,2022,1852
Smith Park,2022,1802
Ogden Ave & Roosevelt Rd,2022,1795
Albany Ave & Montrose Ave,2022,1786
Wallace St & 35th St,2022,1783
Eastlake Ter & Rogers Ave,2022,1746
Manor Ave & Leland Ave,2022,1738
Christiana Ave & Lawrence Ave,2022,1704
Bernard St & Elston Ave,2022,1592
Avondale Ave & Irving Park Rd,2022,1562
Prairie Ave & Garfield Blvd,2022,1516
Cottage Grove Ave & 51st St,2022,1453
Malcolm X College Vaccination Site,2022,1440
Cottage Grove Ave & 47th St,2022,1414
Kedzie Ave & Leland Ave,2022,1414
Drake Ave & Montrose Ave,2022,1362
Monticello Ave & Irving Park Rd,2022,1347
Western Ave & Lunt Ave,2022,1324
South Shore Dr & 71st St,2022,1315
Woodlawn Ave & Lake Park Ave,2022,1278
Drake Ave & Addison St,2022,1273
Elizabeth St & Fulton St,2022,1272
Western Ave & 21st St,2022,1269
Loomis St & Archer Ave,2022,1259
N Sheffield Ave & W Wellington Ave,2022,1258
Rockwell St & Fletcher St,2022,1248
Evanston Civic Center,2022,1223
Cottage Grove Ave & 43rd St,2022,1165
