end_station_name,year,number_of_rides
Larrabee St & Menomonee St,2021,5787
Campbell Ave & North Ave,2021,5776
Elizabeth (May) St & Fulton St,2021,5718
Seeley Ave & Roscoe St,2021,5671
Blue Island Ave & 18th St,2021,5662
Ellis Ave & 53rd St,2021,5606
Ravenswood Ave & Irving Park Rd,2021,5594
Clark St & Montrose Ave,2021,5497
Leavitt St & Armitage Ave,2021,5472
LaSalle St & Adams St,2021,5454
Emerald Ave & 31st St,2021,5453
Wood St & Augusta Blvd,2021,5389
Damen Ave & Grand Ave,2021,5363
Sedgwick St & Schiller St,2021,5359
Sheridan Rd & Noyes St (NU),2021,5351
Humboldt Blvd & Armitage Ave,2021,5316
Lincoln Ave & Sunnyside Ave,2021,5298
Clark St & Ida B Wells Dr,2021,5295
Damen Ave & Leland Ave,2021,5289
Damen Ave & Clybourn Ave,2021,5202
Racine Ave & Randolph St,2021,5197
Lincoln Ave & Waveland Ave,2021,5176
Museum of Science and Industry,2021,5151
Racine Ave & Washington Blvd,2021,5055
Calumet Ave & 33rd St,2021,5049
California Ave & Cortez St,2021,5005
Orleans St & Elm St,2021,4976
Damen Ave & Wellington Ave,2021,4919
Western Ave & Division St,2021,4906
Ashland Ave & Lake St,2021,4878
Leavitt St & Chicago Ave,2021,4869
Morgan Ave & 14th Pl,2021,4849
Wolcott (Ravenswood) Ave & Montrose Ave,2021,4714
Morgan St & 18th St,2021,4704
Western Ave & Fillmore St,2021,4700
Racine Ave & Congress Pkwy,2021,4663
Sheridan Rd & Loyola Ave,2021,4660
Blackstone Ave & Hyde Park Blvd,2021,4555
Stave St & Armitage Ave,2021,4527
Milwaukee Ave & Rockwell St,2021,4506
Halsted St & Roosevelt Rd,2021,4410
Albany Ave & Bloomingdale Ave,2021,4386
California Ave & North Ave,2021,4343
Wood St & Hubbard St,2021,4256
Paulina St & 18th St,2021,4218
Chicago Ave & Sheridan Rd,2021,4214
State St & 35th St,2021,4172
Glenwood Ave & Morse Ave,2021,4137
California Ave & Francis Pl (Temp),2021,4116
McCormick Place,2021,4074
California Ave & Altgeld St,2021,4038
Kedzie Ave & Palmer Ct,2021,4034
Sheridan Rd & Columbia Ave,2021,4005
Leavitt St & Division St,2021,3995
California Ave & Division St,2021,3989
Rhodes Ave & 32nd St,2021,3936
Leavitt St & Belmont Ave,2021,3881
Damen Ave & Foster Ave,2021,3857
Wabash Ave & Cermak Rd,2021,3820
Spaulding Ave & Armitage Ave,2021,3813
Chicago Ave & Washington St,2021,3753
Indiana Ave & 31st St,2021,3729
Calumet Ave & 21st St,2021,3692
Damen Ave & Melrose Ave,2021,3676
Harper Ave & 59th St,2021,3674
Ravenswood Ave & Berteau Ave,2021,3664
Winchester Ave & Elston Ave,2021,3612
California Ave & Fletcher St,2021,3562
Campbell Ave & Fullerton Ave,2021,3386
Damen Ave & Madison St,2021,3350
Lake Park Ave & 35th St,2021,3333
Morgan St & 31st St,2021,3315
Lincoln Ave & Addison St,2021,3283
Southport Ave & Clark St,2021,3281
Central Park Ave & Bloomingdale Ave,2021,3206
Elston Ave & Wabansia Ave,2021,3163
Clark St & Elmdale Ave,2021,3159
State St & 19th St,2021,3141
Clinton St & 18th St,2021,3113
Paulina St & Montrose Ave,2021,3108
Clinton St & Tilden St,2021,3084
Ashland Ave & 13th St,2021,3072
Ashland Ave & Belle Plaine Ave,2021,3019
Shields Ave & 31st St,2021,2996
Indiana Ave & 26th St,2021,2981
Damen Ave & Sunnyside Ave,2021,2979
St. Louis Ave & Fullerton Ave,2021,2961
Western Ave & Congress Pkwy,2021,2954
Greenview Ave & Jarvis Ave,2021,2924
Racine Ave & 15th St,2021,2875
California Ave & Montrose Ave,2021,2863
Damen Ave & Walnut (Lake) St,2021,2849
University Library (NU),2021,2842
Talman Ave & Addison St,2021,2830
Wells St & 19th St,2021,2786
Damen Ave & Cullerton St,2021,2777
Washtenaw Ave & Lawrence Ave,2021,2776
Rockwell St & Eastwood Ave,2021,2711
Campbell Ave & Montrose Ave,2021,2709
Western Ave & Roscoe St,2021,2695
Troy St & North Ave,2021,2680
Leavitt St & Lawrence Ave,2021,2638
Clark St & Schreiber Ave,2021,2586
Wentworth Ave & 33rd St,2021,2576
Claremont Ave & Hirsch St,2021,2571
Lake Park Ave & 47th St,2021,2558
Leavitt St & Addison St,2021,2526
Emerald Ave & 28th St,2021,2522
Oakley Ave & Irving Park Rd,2021,2494
Wallace St & 35th St,2021,2467
Canal St & Harrison St,2021,2454
Lincoln Ave & Winona St,2021,2437
Clark St & Lunt Ave,2021,2404
Richmond St & Diversey Ave,2021,2375
Eastlake Ter & Rogers Ave,2021,2343
Ogden Ave & Congress Pkwy,2021,2333
Laflin St & Cullerton St,2021,2323
Troy St & Elston Ave,2021,2314
Smith Park,2021,2284
California Ave & Byron St,2021,2268
Wentworth Ave & 24th St (Temp),2021,2194
May St & Cullerton St,2021,2193
Sheridan Rd & Greenleaf Ave,2021,2192
Western Ave & Monroe St,2021,2181
Halsted St & North Branch St,2021,2128
Hoyne Ave & Balmoral Ave,2021,2114
Clark St & Columbia Ave,2021,2106
63rd St Beach,2021,2084
Marshfield Ave & Cortland St,2021,2064
Calumet Ave & 35th St,2021,2038
Francisco Ave & Foster Ave,2021,2031
Kosciuszko Park,2021,1989
Halsted St & 21st St,2021,1988
Paulina St & Howard St,2021,1975
Artesian Ave & Hubbard St,2021,1966
Glenwood Ave & Touhy Ave,2021,1962
Albany Ave & Montrose Ave,2021,1935
Halsted St & 35th St,2021,1855
Greenwood Ave & 47th St,2021,1850
Central Park Ave & Elbridge Ave,2021,1822
Western Ave & 21st St,2021,1820
Spaulding Ave & Division St,2021,1812
Winchester (Ravenswood) Ave & Balmoral Ave,2021,1792
Kimball Ave & Belmont Ave,2021,1782
Cherry Ave & Blackhawk St,2021,1760
Cottage Grove Ave & Oakwood Blvd,2021,1745
Avers Ave & Belmont Ave,2021,1702
Halsted St & Archer Ave,2021,1702
Shields Ave & 28th Pl,2021,1686
Halsted St & 18th St (Temp),2021,1685
Manor Ave & Leland Ave,2021,1663
South Shore Dr & 71st St,2021,1662
N Green St & W Lake St,2021,1618
Woodlawn Ave & Lake Park Ave,2021,1581
Halsted St & 18th St,2021,1562
Western Ave & Lunt Ave,2021,1519
Wentworth Ave & 35th St,2021,1430
Ogden Ave & Roosevelt Rd,2021,1382
Christiana Ave & Lawrence Ave,2021,1373
California Ave & 21st St,2021,1370
Malcolm X College Vaccination Site,2021,1356
Evanston Civic Center,2021,1348
Western Ave & Granville Ave,2021,1340
Central St Metra,2021,1315
Clinton St & Polk St,2021,1311
Loomis St & Archer Ave,2021,1276
Monticello Ave & Irving Park Rd,2021,1276
South Shore Dr & 67th St,2021,1243
MLK Jr Dr & Pershing Rd,2021,1233
Warren Park West,2021,1216
Racine Ave & 13th St,2021,1212
Drake Ave & Montrose Ave,2021,1211
W Oakdale Ave & N Broadway,2021,1189
Kedzie Ave & Leland Ave,2021,1162
Dorchester Ave & 49th St,2021,1149
Central St & Girard Ave,2021,1131
Kedzie Ave & Foster Ave,2021,1120
Washtenaw Ave & Ogden Ave,2021,1117
Central Park Ave & North Ave,2021,1116
Racine Ave & 35th St,2021,1104
Avondale Ave & Irving Park Rd,2021,1097
Cottage Grove Ave & 47th St,2021,1097
Bernard St & Elston Ave,2021,1095
Sawyer Ave & Irving Park Rd,2021,1088
Normal Ave & Archer Ave,2021,1073
Hermitage Ave & Polk St,2021,1067
Cottage Grove Ave & 51st St,2021,1056
Keystone Ave & Fullerton Ave,2021,1054
Ashland Ave & Archer Ave,2021,1003
Budlong Woods Library,2021,998
2112 W Peterson Ave,2021,984
Elmwood Ave & Austin St,2021,976
Warren Park East,2021,959
Valli Produce - Evanston Plaza,2021,954
Kedzie Ave & Bryn Mawr Ave,2021,950
Prairie Ave & 43rd St,2021,931
Prairie Ave & Garfield Blvd,2021,903
Clark St & Jarvis Ave,2021,893
Western Ave & 24th St,2021,879
Dorchester Ave & 63rd St,2021,869
Calumet Ave & 51st St,2021,857
Kedzie Ave & Chicago Ave,2021,838
State St & 29th St,2021,827
MLK Jr Dr & 47th St,2021,824
Bosworth Ave & Howard St,2021,819
Lincolnwood Dr & Central St,2021,814
Keystone Ave & Montrose Ave,2021,799
Cottage Grove Ave & 63rd St,2021,789
Conservatory Dr & Lake St,2021,782
Milwaukee Ave & Cuyler Ave,2021,774
Western Ave & Howard St,2021,766
Drake Ave & Addison St,2021,765
Damen Ave & Wabansia Ave,2021,744
DuSable Museum,2021,742
California Ave & Lake St,2021,723
Clark St & Touhy Ave,2021,722
California Ave & 23rd Pl,2021,715
Cottage Grove Ave & 43rd St,2021,713
St. Louis Ave & Balmoral Ave,2021,711
Wood St & 35th St,2021,711
Ridge Blvd & Touhy Ave,2021,705
Leavitt St & Archer Ave,2021,702
Dodge Ave & Church St,2021,699
Maplewood Ave & Peterson Ave,2021,690
Kedzie Ave & Lake St,2021,664
Halsted St & 37th St,2021,661
Damen Ave & Coulter St,2021,640
Kildare Ave & Montrose Ave,2021,628
Oakley Ave & Touhy Ave,2021,618
Halsted St & 47th Pl,2021,617
Ridge Blvd & Howard St,2021,609
W Armitage Ave & N Sheffield Ave,2021,608
Austin Blvd & Lake St,2021,593
Fairfield Ave & Roosevelt Rd,2021,583
Dodge Ave & Mulford St,2021,580
Central Ave & Chicago Ave,2021,577
Hampden Ct & Diversey Ave,2021,576
Jeffery Blvd & 67th St,2021,567
Union Ave & Root St,2021,555
N Sheffield Ave & W Wellington Ave,2021,523
Archer (Damen) Ave & 37th St,2021,521
Knox Ave & Montrose Ave,2021,519
Eberhart Ave & 61st St,2021,512
Stony Island Ave & 64th St,2021,502
South Shore Dr & 74th St,2021,491
Damen Ave & Pershing Rd,2021,486
Indiana Ave & 40th St,2021,470
Cornell Dr & Hayes Dr,2021,467
Base - 2132 W Hubbard Warehouse,2021,464
Pulaski Rd & Eddy St (Temp),2021,462
Chicago State University,2021,454
Central Park Ave & Ogden Ave,2021,450
Dodge Ave & Main St,2021,431
Stony Island Ave & 71st St,2021,419
Wolcott Ave & Fargo Ave,2021,410
Kilbourn Ave & Milwaukee Ave,2021,386
MLK Jr Dr & 63rd St,2021,386
Sacramento Blvd & Franklin Blvd,2021,374
Jeffery Blvd & 71st St,2021,373
Calumet Park,2021,370
Kedzie Ave & Roosevelt Rd,2021,362
Millard Ave & 26th St,2021,361
N Southport Ave & W Newport Ave,2021,361
Kilbourn Ave & Irving Park Rd,2021,358
Stony Island Ave & 67th St,2021,350
Marshfield Ave & 44th St,2021,345
Ashland Ave & Pershing Rd,2021,344
Princeton Ave & 47th St,2021,340
Stony Island Ave & 75th St,2021,339
State St & 95th St,2021,323
Western Blvd & 48th Pl,2021,319
Kedzie Ave & 21st St,2021,318
MLK Jr Dr & 56th St,2021,310
Phillips Ave & 79th St,2021,307
Ashland Ave & McDowell Ave,2021,294
California Ave & 26th St,2021,286
Morgan St & Pershing Rd,2021,282
Big Marsh Park,2021,279
Cottage Grove Ave & 67th St,2021,274
Hoyne Ave & 47th St,2021,272
Austin Blvd & Chicago Ave,2021,270
State St & Pershing Rd,2021,270
Central Ave & Lake St,2021,269
Austin Blvd & Madison St,2021,267
Central Park Blvd & 5th Ave,2021,264
Rainbow Beach,2021,264
Princeton Ave & Garfield Blvd,2021,254
Albany Ave & 26th St,2021,246
McClurg Ct & Ohio St,2021,243
Prospect Sq & 91st St,2021,243
Central Ave & Madison St,2021,240
Pulaski Rd & Lake St,2021,240
Wabash Ave & 87th St,2021,232
N Carpenter St & W Lake St,2021,231
Lawndale Ave & 111th St,2021,221
Burnham Greenway & 105th St,2021,219
Greenwood Ave & 97th St,2021,212
Central Park Ave & 24th St,2021,205
Baltimore Ave & 87th St,2021,201
Cottage Grove Ave & 83rd St,2021,200
Jeffery Blvd & 76th St,2021,195
Exchange Ave & 79th St,2021,193
State St & 79th St,2021,192
Hale Ave & 107th St,2021,190
Yates Blvd & 75th St,2021,190
State St & 123rd St,2021,178
Stony Island Ave & 82nd St,2021,177
Walden Pkwy & 100th St,2021,177
Ellis Ave & 83rd St,2021,173
W Washington Blvd & N Peoria St,2021,173
Dauphin Ave & 87th St,2021,171
Kedzie Ave & 24th St,2021,171
Stony Island Ave & 90th St,2021,171
Kedzie Ave & Harrison St,2021,169
Damen Ave & 59th St,2021,165
Perry Ave & 69th St,2021,165
Central Ave & Harrison St,2021,164
Wentworth Ave & 63rd St,2021,161
Eberhart Ave & 91st St,2021,160
Greenwood Ave & 79th St,2021,159
Clyde Ave & 87th St,2021,154
State St & 54th St,2021,154
Halsted & 63rd - Kennedy-King Vaccination Site,2021,152
Western Ave & 111th St,2021,152
Cottage Grove Ave & 111th Pl,2021,151
Laramie Ave & Madison St,2021,151
Loomis Blvd & 84th St,2021,151
N Paulina St & Lincoln Ave,2021,151
Broadway & Wilson Ave,2021,150
Pulaski Rd & Congress Pkwy,2021,150
Major Taylor Trail & 115th St,2021,147
Long & Irving Park,2021,146
Marquette Ave & 89th St,2021,144
Latrobe Ave & Chicago Ave,2021,143
Vernon Ave & 75th St,2021,142
Elizabeth St & 92nd St,2021,141
Cottage Grove Ave & 78th St,2021,139
Stony Island Ave & South Chicago Ave,2021,139
Ashland Ave & 63rd St,2021,138
Western Ave & 104th St,2021,138
Houston Ave & 92nd St,2021,136
Kostner Ave & Adams St,2021,135
Vernon Ave & 79th St,2021,134
Homewood Ave & 115th St,2021,133
Evans Ave & 75th St,2021,132
East End Ave & 87th St,2021,131
Racine Ave & Garfield Blvd,2021,131
Shields Ave & 43rd St,2021,130
Stewart Ave & 63rd St,2021,129
Cicero Ave & Lake St,2021,127
Commercial Ave & 130th St,2021,125
Eggleston Ave & 92nd St,2021,125
Lockwood Ave & Wrightwood Ave,2021,121
Cottage Grove Ave & 71st St,2021,118
Karlov Ave & Madison St,2021,114
Commercial Ave & 83rd St,2021,113
Halsted St & 51st St,2021,113
Halsted St & 96th St,2021,113
Laramie Ave & Kinzie St,2021,113
Ashland Ave & 50th St,2021,110
Halsted St & 73rd St,2021,110
Ashland Ave & 74th St,2021,109
Cicero Ave & Quincy St,2021,109
Stewart Ave & 83rd St,2021,109
Eggleston Ave & 69th St,2021,108
May St & 69th St,2021,106
Oglesby Ave & 100th St,2021,103
Milwaukee Ave & Fullerton Ave,2021,101
Indiana Ave & 103rd St,2021,100
South Chicago Ave & 83rd St,2021,99
Kilbourn & Roscoe,2021,98
Ewing Ave & Burnham Greenway,2021,97
Major Taylor Trail & 124th St,2021,97
Western & 28th - Velasquez Institute Vaccination Site,2021,97
Ashland Ave & 78th St,2021,96
Avenue O & 118th St,2021,95
Loomis St & 89th St,2021,95
Vincennes Ave & 75th St,2021,95
Ashland Ave & 66th St,2021,94
Summit Ave & 86th St,2021,94
Damen Ave & 51st St,2021,92
Dauphin Ave & 103rd St,2021,92
Lamon Ave & Belmont Ave,2021,92
Michigan Ave & 71st St,2021,92
Narragansett & Wrightwood,2021,92
Vernon Ave & 107th St,2021,92
Vincennes Ave & 104th St,2021,90
Ashland Ave & Garfield Blvd,2021,89
Halsted St & 111th St,2021,89
Mulligan Ave & Wellington Ave,2021,89
Bradley Park,2021,88
Avenue O & 134th St,2021,86
Rhodes Ave & 71st St,2021,86
Halsted St & 104th St,2021,85
WEST CHI-WATSON,2021,83
Phillips Ave & 83rd St,2021,82
Constance Ave & 95th St,2021,81
Elizabeth St & 47th St,2021,81
Kedzie Ave & 110th St,2021,81
Kenton Ave & Madison St,2021,81
Seeley Ave & Garfield Blvd,2021,80
Wentworth Ave & 104th St,2021,79
Bennett Ave & 79th St,2021,77
Halsted St & 78th St,2021,77
Kilpatrick Ave & Parker Ave,2021,77
MLK Jr Dr & 83rd St,2021,77
Calumet Ave & 71st St,2021,76
Eberhart Ave & 131st St,2021,76
Kilbourn & Belden,2021,75
Kostner Ave & Lake St,2021,72
Halsted St & 56th St,2021,71
Michigan Ave & 114th St,2021,71
Cicero Ave & Flournoy St,2021,70
Kostner Ave & Wrightwood Ave,2021,70
Yates Blvd & 93rd St,2021,70
Long Ave & Belmont Ave,2021,68
Marshfield Ave & 59th St,2021,66
Meade Ave & Addison St,2021,66
Throop St & 52nd St,2021,66
Laramie Ave & Gladys Ave,2021,65
Oak Park & Wellington,2021,65
Halsted St & 69th St,2021,63
Hegewisch Metra Station,2021,62
Greenwood Ave & 91st St,2021,60
Lamon Ave & Armitage Ave,2021,60
Altgeld Gardens,2021,58
Lincoln Ave & Balmoral Ave,2021,58
Woodlawn Ave & 75th St,2021,58
Central Ave & Roscoe St,2021,56
Narragansett Ave & School St,2021,56
Nordica & Medill,2021,56
Plainfield & Irving Park,2021,56
Mason Ave & Belmont Ave,2021,55
Western Ave & Gunnison St,2021,55
Ada St & 113th St,2021,54
Kedzie Ave & George St,2021,54
Lawndale Ave & 30th St,2021,54
Rockwell St & Fletcher St,2021,54
Wabash Ave & 83rd St,2021,52
Racine Ave & 61st St,2021,51
Halsted St & 59th St,2021,50
Albany Ave & Belmont Ave,2021,48
Central Ave & Parker Ave,2021,48
Spaulding Ave & 16th St,2021,48
Elston Ave & George St,2021,47
Meade Ave & Diversey Ave,2021,47
Elizabeth St & 59th St,2021,45
Lavergne & Fullerton,2021,45
W 103rd St & S Avers Ave,2021,45
Commercial Ave & 100th St,2021,44
N Clark St & W Elm St,2021,43
Oketo Ave & Addison St,2021,43
State St & 76th St,2021,41
Narragansett & Irving Park,2021,40
Torrence Ave & 126th Pl,2021,40
Racine Ave & 65th St,2021,38
Torrence Ave & 106th St,2021,38
California Ave & Winona St,2021,37
Central Park Ave & Douglas Blvd,2021,37
Long Ave & Belden Ave,2021,35
Tripp Ave & 31st St,2021,35
Orange & Addison,2021,34
Sayre & Diversey,2021,34
Kedzie Ave & 52nd St,2021,33
South Chicago Ave & Elliot Ave,2021,33
Carpenter St & 63rd St,2021,32
Harlem & Irving Park,2021,32
Troy St & Grace St,2021,32
North Ave & New England Ave,2021,30
Pulaski Rd & 21st St,2021,30
Komensky Ave & 31st St,2021,29
Menard Ave & Division St,2021,28
State St & Chicago Ave,2021,28
Virginia Ave & Catalpa Ave,2021,28
Elston Ave & Henderson St,2021,27
Kedzie Ave & 48th Pl,2021,27
Rockwell St & Archer Ave,2021,26
Malcolm X College,2021,25
Kenosha & Wellington,2021,24
Lawler Ave & 50th St,2021,24
Maryland Ave & 104th St,2021,24
Pulaski Rd & 51st St,2021,24
Roscoe & Harlem,2021,24
Homan Ave & Fillmore St,2021,23
Kedzie Ave & 57th St,2021,23
Cicero Ave & Grace St,2021,22
Rockwell St & Cermak Rd,2021,22
Damen Ave & 33rd St,2021,20
Lavergne Ave & Division St,2021,20
Rockwell St & 57th St,2021,20
Western Ave & Grace St,2021,20
Keeler Ave & Roosevelt Rd,2021,19
Monticello Ave & Chicago Ave,2021,19
S Aberdeen St & W 106th St,2021,19
Tripp Ave & 65th St,2021,19
Artesian Ave & 55th St,2021,18
Major Ave & Bloomingdale Ave,2021,18
Kedzie Ave & 104th St,2021,17
Kildare Ave & Division St,2021,17
Ping Tom Park (East),2021,17
Harlem Ave & Grace St,2021,16
Kildare Ave & Chicago Ave,2021,16
Lawndale Ave & 16th St,2021,16
Sacramento Blvd & Addison St,2021,16
Archer Ave & 43rd St,2021,15
Francisco Ave & Bloomingdale Ave,2021,14
Harding Ave & 26th St,2021,14
Richmond St & Lincoln Ave,2021,14
Springfield Ave & 47th St,2021,14
Tripp Ave & 15th St,2021,14
Whipple/Irving Park,2021,14
Woodlawn & 103rd - Olive Harvey Vaccination Site,2021,14
Bloomingdale Ave & Harlem Ave,2021,13
Panama Ave & Grace St,2021,13
Spaulding Ave & 63rd St,2021,13
Central Park & Augusta Blvd,2021,12
Francisco Ave & Montrose Ave,2021,12
Long Ave & North Ave,2021,12
Maplewood Ave & 59th St,2021,12
Narragansett & McLean,2021,12
Sacramento Ave & Pershing Rd,2021,12
St Louis Ave & Norman Bobbins Ave,2021,12
Lavergne Ave & 46th St,2021,11
Leamington Ave & Hirsch St,2021,11
Richmond St & 59th St,2021,11
Avenue L & 114th St,2021,10
Kenneth Ave & 50th St,2021,10
Kildare Ave & 26th St,2021,10
Lamon Ave & Chicago Ave,2021,10
Mozart St & Jackson Blvd,2021,10
St Louis Ave & 59th St,2021,10
Hoyne Ave & 34th St,2021,9
Doty Ave & 111th St,2021,8
Kostner Ave & 63rd St,2021,8
Sacramento Ave & 25th St,2021,8
Hamlin Ave & 62nd Pl,2021,7
Komensky Ave & 55th St,2021,7
California Ave & 36th St,2021,6
Central Park Ave & Ohio St,2021,6
N Damen Ave & W Chicago Ave,2021,6
Parkside Ave & Armitage Ave,2021,6
Pulaski Rd & 60th St,2021,6
Western Ave & 62nd St,2021,6
Campbell Ave & 51st St,2021,5
Kildare Ave & 55th St,2021,5
Kilpatrick Ave & Grand Ave,2021,5
Lincoln Ave & Peterson Ave,2021,5
Menard Ave & North Ave,2021,5
Western Ave & Ardmore Ave,2021,5
DIVVY CASSETTE REPAIR MOBILE STATION,2021,4
Halsted St & 63rd St,2021,4
N Shore Channel Trail & Argyle Ave,2021,4
S Wentworth Ave & W 111th St,2021,4
Sacramento Blvd & Fulton Ave,2021,4
Pulaski & Ann Lurie Pl,2021,3
Sacramento Blvd & Polk St,2021,3
Washtenaw Ave & Peterson Ave,2021,3
Western Ave & 28th St,2021,3
Western Ave & Lake St,2021,3
Augusta Blvd & Laramie Ave,2021,2
California Ave & Marquette Rd,2021,2
Fairfield Ave & 44th St,2021,2
Francisco Ave & 47th St,2021,2
N Damen Ave & W Wabansia St,2021,2
Whipple St & Irving Park Rd,2021,2
California Ave & 29th St,2021,1
Francisco Ave & Hollywood Ave,2021,1
Indiana Ave & 133rd St,2021,1
N Hampden Ct & W Diversey Ave,2021,1
Throop/Hastings Mobile Station,2021,1
Washtenaw Ave & Polk St,2021,1
Streeter Dr & Grand Ave,2022,72540
DuSable Lake Shore Dr & North Blvd,2022,40563
DuSable Lake Shore Dr & Monroe St,2022,38500
Michigan Ave & Oak St,2022,38279
Wells St & Concord Ln,2022,34688
Millennium Park,2022,33705
Clark St & Elm St,2022,32227
Theater on the Lake,2022,31672
Kingsbury St & Kinzie St,2022,30450
Wells St & Elm St,2022,28346
Broadway & Barry Ave,2022,27371
Clark St & Armitage Ave,2022,27109
Wabash Ave & Grand Ave,2022,25602
Clark St & Lincoln Ave,2022,25453
Clinton St & Madison St,2022,25016
Dearborn St & Erie St,2022,24743
Wilton Ave & Belmont Ave,2022,24644
Indiana Ave & Roosevelt Rd,2022,24534
Clinton St & Washington Blvd,2022,24137
Clark St & Wrightwood Ave,2022,23752
St. Clair St & Erie St,2022,23714
University Ave & 57th St,2022,23422
Shedd Aquarium,2022,23312
Wells St & Huron St,2022,22875
Michigan Ave & Washington St,2022,22762
LaSalle St & Illinois St,2022,22415
Wells St & Hubbard St,2022,21854
Sheffield Ave & Fullerton Ave,2022,21647
Ellis Ave & 60th St,2022,21589
Clark St & Newport St,2022,21517
Sheffield Ave & Waveland Ave,2022,21431
Ashland Ave & Division St,2022,21399
Clark St & Drummond Pl,2022,21384
Green St & Madison St,2022,21337
Larrabee St & Webster Ave,2022,20965
DuSable Lake Shore Dr & Diversey Pkwy,2022,20829
Loomis St & Lexington St,2022,20742
Lakeview Ave & Fullerton Pkwy,2022,20562
Michigan Ave & Lake St,2022,20495
Wabash Ave & Roosevelt Rd,2022,20490
Dearborn Pkwy & Delaware Pl,2022,20169
Damen Ave & Pierce Ave,2022,20084
Broadway & Waveland Ave,2022,19910
New St & Illinois St,2022,19909
Halsted St & Roscoe St,2022,19765
McClurg Ct & Ohio St,2022,19734
Canal St & Adams St,2022,19486
Broadway & Cornelia Ave,2022,19416
Lincoln Ave & Fullerton Ave,2022,19255
Wells St & Evergreen Ave,2022,19222
Southport Ave & Roscoe St,2022,19218
Halsted St & Wrightwood Ave,2022,18932
Halsted St & Clybourn Ave,2022,18887
DuSable Lake Shore Dr & Belmont Ave,2022,18851
Montrose Harbor,2022,18756
DuSable Lake Shore Dr & Wellington Ave,2022,18417
Fairbanks Ct & Grand Ave,2022,18294
Dusable Harbor,2022,18228
State St & Chicago Ave,2022,18191
Desplaines St & Kinzie St,2022,18139
Clark St & Schiller St,2022,18007
Pine Grove Ave & Waveland Ave,2022,17800
State St & Randolph St,2022,17787
Southport Ave & Waveland Ave,2022,17533
Ellis Ave & 55th St,2022,17435
Larrabee St & Kingsbury St,2022,17297
Clinton St & Jackson Blvd,2022,17039
Clinton St & Lake St,2022,16840
Federal St & Polk St,2022,16604
Sheffield Ave & Wellington Ave,2022,16598
Sheffield Ave & Webster Ave,2022,16575
Dearborn St & Monroe St,2022,16416
Sheridan Rd & Irving Park Rd,2022,16326
Clark St & Wellington Ave,2022,16218
Peoria St & Jackson Blvd,2022,16145
Rush St & Cedar St,2022,16090
Franklin St & Jackson Blvd,2022,16079
Sheffield Ave & Wrightwood Ave,2022,15999
Kingsbury St & Erie St,2022,15890
Broadway & Belmont Ave,2022,15544
Halsted St & Dickens Ave,2022,15480
Wilton Ave & Diversey Pkwy,2022,15434
Stockton Dr & Wrightwood Ave,2022,15236
Halsted St & Polk St,2022,15085
State St & Kinzie St,2022,14895
Sedgwick St & North Ave,2022,14858
Columbus Dr & Randolph St,2022,14778
Morgan St & Polk St,2022,14722
Michigan Ave & 8th St,2022,14702
Adler Planetarium,2022,14682
Franklin St & Chicago Ave,2022,14677
Mies van der Rohe Way & Chestnut St,2022,14474
Orleans St & Merchandise Mart Plaza,2022,14456
Clark St & Lake St,2022,14386
Rush St & Superior St,2022,14338
McClurg Ct & Erie St,2022,14293
Mies van der Rohe Way & Chicago Ave,2022,14206
Lincoln Ave & Diversey Pkwy,2022,14203
Kimbark Ave & 53rd St,2022,14140
Daley Center Plaza,2022,14101
Burling St & Diversey Pkwy,2022,14031
Wabash Ave & 9th St,2022,13979
Canal St & Madison St,2022,13939
Clark St & Randolph St,2022,13904
Pine Grove Ave & Irving Park Rd,2022,13893
Ravenswood Ave & Lawrence Ave,2022,13651
Sheridan Rd & Montrose Ave,2022,13639
Wood St & Milwaukee Ave,2022,13627
Franklin St & Lake St,2022,13545
Broadway & Sheridan Rd,2022,13509
Milwaukee Ave & Grand Ave,2022,13466
Clark St & Winnemac Ave,2022,13446
Sedgwick St & Webster Ave,2022,13321
State St & 33rd St,2022,13299
Racine Ave & Belmont Ave,2022,13217
Franklin St & Monroe St,2022,13214
Franklin St & Illinois St,2022,13080
Lakefront Trail & Bryn Mawr Ave,2022,12910
LaSalle St & Jackson Blvd,2022,12899
Sheffield Ave & Kingsbury St,2022,12840
Kedzie Ave & Milwaukee Ave,2022,12681
May St & Taylor St,2022,12617
Racine Ave & Fullerton Ave,2022,12489
Clark St & Grace St,2022,12477
Greenview Ave & Fullerton Ave,2022,12452
Clark St & North Ave,2022,12290
Clarendon Ave & Gordon Ter,2022,12194
Southport Ave & Wellington Ave,2022,12128
Bissell St & Armitage Ave*,2022,12022
Michigan Ave & Jackson Blvd,2022,11844
Wabash Ave & Wacker Pl,2022,11806
Lincoln Park Conservatory,2022,11714
Ritchie Ct & Banks St,2022,11650
Southport Ave & Wrightwood Ave,2022,11549
Canal St & Monroe St,2022,11530
Damen Ave & Cortland St,2022,11395
Field Blvd & South Water St,2022,11336
California Ave & Milwaukee Ave,2022,11302
Milwaukee Ave & Wabansia Ave,2022,11266
Michigan Ave & 14th St,2022,11210
Southport Ave & Belmont Ave,2022,11155
LaSalle Dr & Huron St,2022,11144
900 W Harrison St,2022,11033
Halsted St & Willow St,2022,11022
Ogden Ave & Chicago Ave,2022,11012
Clarendon Ave & Junior Ter,2022,10968
Aberdeen St & Jackson Blvd,2022,10876
Shore Dr & 55th St,2022,10804
