end_station_name,year,number_of_rides
Larrabee St & Oak St,2019,8396
Calumet Ave & 18th St,2019,8234
Sheridan Rd & Montrose Ave,2019,8152
Clifton Ave & Armitage Ave,2019,8137
Franklin St & Chicago Ave,2019,8115
Honore St & Division St,2019,8093
Ritchie Ct & Banks St,2019,8038
Wells St & Polk St,2019,8020
Broadway & Sheridan Rd,2019,7922
Michigan Ave & Ida B Wells Dr,2019,7917
Broadway & Wilson Ave,2019,7889
Damen Ave & Division St,2019,7885
Orleans St & Chestnut St (NEXT Apts),2019,7885
Canal St & Taylor St,2019,7866
Ada St & Washington Blvd,2019,7852
Greenview Ave & Fullerton Ave,2019,7814
Clark St & Winnemac Ave,2019,7763
Halsted St & Polk St,2019,7746
Lincoln Ave & Diversey Pkwy,2019,7719
Racine Ave & Belmont Ave,2019,7701
Clarendon Ave & Gordon Ter,2019,7669
Fort Dearborn Dr & 31st St,2019,7664
May St & Taylor St,2019,7638
Field Museum,2019,7623
State St & Harrison St,2019,7615
Clark St & Berwyn Ave,2019,7609
Shore Dr & 55th St,2019,7482
MLK Jr Dr & 29th St,2019,7420
Larrabee St & Armitage Ave,2019,7343
Halsted St & Willow St,2019,7324
Clark St & Grace St,2019,7281
Ellis Ave & 60th St,2019,7155
Halsted St & Maxwell St,2019,6975
Carpenter St & Huron St,2019,6898
Cannon Dr & Fullerton Ave,2019,6859
Lincoln Ave & Belmont Ave,2019,6819
Paulina Ave & North Ave,2019,6774
State St & 33rd St,2019,6751
Clinton St & Tilden St,2019,6746
Southport Ave & Wrightwood Ave,2019,6710
Blue Island Ave & 18th St,2019,6691
Halsted St & Roosevelt Rd,2019,6650
Ashland Ave & Blackhawk St,2019,6642
Eckhart Park,2019,6619
Canal St & Monroe St,2019,6576
LaSalle St & Adams St,2019,6490
Clinton St & Roosevelt Rd,2019,6300
Noble St & Milwaukee Ave,2019,6290
900 W Harrison St,2019,6272
Western Ave & Walton St,2019,6185
Clybourn Ave & Division St,2019,6135
Racine Ave & Congress Pkwy,2019,6133
Halsted St & Clybourn Ave (*),2019,6122
LaSalle Dr & Huron St,2019,6078
Damen Ave & Thomas St (Augusta Blvd),2019,6075
Lakefront Trail & Wilson Ave,2019,6023
Racine Ave & Randolph St,2019,5980
Wells St & Walton St,2019,5892
Ashland Ave & Chicago Ave,2019,5891
Delano Ct & Roosevelt Rd,2019,5871
Southport Ave & Belmont Ave,2019,5750
Broadway & Berwyn Ave,2019,5739
Ellis Ave & 58th St,2019,5685
Cornell Ave & Hyde Park Blvd,2019,5665
Western Ave & Leland Ave,2019,5654
Clarendon Ave & Junior Ter,2019,5651
Wood St & Taylor St,2019,5647
Broadway & Argyle St,2019,5564
Lake Park Ave & 56th St,2019,5456
Wood St & Chicago Ave (*),2019,5444
Clark St & Leland Ave,2019,5411
Paulina St & Flournoy St,2019,5409
McCormick Place,2019,5380
Southport Ave & Irving Park Rd,2019,5348
Racine Ave & Wrightwood Ave,2019,5306
Marine Dr & Ainslie St,2019,5303
Ashland Ave & Wrightwood Ave,2019,5261
Franklin St & Adams St (Temp),2019,5243
Benson Ave & Church St,2019,5230
Franklin St & Quincy St,2019,5181
Damen Ave & Leland Ave,2019,5176
Franklin St & Chicago Ave (Temp),2019,5155
Wood St & Augusta Blvd,2019,5074
Leavitt St & North Ave,2019,5045
Ashland Ave & Augusta Blvd,2019,5004
Racine Ave & 18th St,2019,4966
Buckingham Fountain,2019,4927
Larrabee St & Menomonee St,2019,4927
Broadway & Thorndale Ave,2019,4883
Orleans St & Hubbard St,2019,4865
Sangamon St & Washington Blvd,2019,4828
Ravenswood Ave & Irving Park Rd,2019,4811
Wentworth Ave & Cermak Rd (Temp),2019,4781
Damen Ave & Grand Ave,2019,4755
Hermitage Ave & Polk St,2019,4684
Lincoln Ave & Sunnyside Ave,2019,4671
Broadway & Granville Ave,2019,4664
Ashland Ave & Grand Ave,2019,4653
Canal St & Monroe St (*),2019,4577
Western Ave & Division St,2019,4553
Broadway & Ridge Ave,2019,4550
Ashland Ave & Grace St,2019,4543
Morgan Ave & 14th Pl,2019,4531
Lincoln Ave & Belle Plaine Ave,2019,4499
Clark St & Bryn Mawr Ave,2019,4495
Sheridan Rd & Buena Ave,2019,4433
Logan Blvd & Elston Ave,2019,4413
Campbell Ave & North Ave,2019,4405
Lincoln Ave & Waveland Ave,2019,4386
Buckingham Fountain (Temp),2019,4356
Greenview Ave & Diversey Pkwy,2019,4355
Morgan St & 18th St,2019,4331
Racine Ave & Washington Blvd (*),2019,4317
Financial Pl & Ida B Wells Dr,2019,4311
Ellis Ave & 53rd St,2019,4297
Winthrop Ave & Lawrence Ave,2019,4296
Clark St & Montrose Ave,2019,4292
Damen Ave & Charleston St,2019,4249
California Ave & Cortez St,2019,4248
Artesian Ave & Hubbard St,2019,4229
Lake Park Ave & 53rd St,2019,4228
Calumet Ave & 21st St,2019,4223
Clark St & 9th St (AMLI),2019,4137
Loomis St & Jackson Blvd,2019,4133
Ashland Ave & Wellington Ave,2019,4087
Sheridan Rd & Loyola Ave,2019,4058
Humboldt Blvd & Armitage Ave,2019,4000
Larrabee St & North Ave,2019,3982
Wood St & Hubbard St,2019,3976
Fairbanks St & Superior St,2019,3974
Woodlawn Ave & 55th St,2019,3874
Dearborn St & Van Buren St,2019,3854
Sedgwick St & Schiller St,2019,3837
Kedzie Ave & Palmer Ct,2019,3828
Franklin St & Illinois St,2019,3813
Albany Ave & Bloomingdale Ave,2019,3794
Sheridan Rd & Lawrence Ave,2019,3772
Paulina St & 18th St,2019,3750
Damen Ave & Clybourn Ave,2019,3742
Leavitt St & Chicago Ave,2019,3712
Leavitt St & Armitage Ave,2019,3684
Orleans St & Hubbard St (*),2019,3681
Seeley Ave & Roscoe St,2019,3676
Spaulding Ave & Armitage Ave,2019,3655
Sangamon St & Washington Blvd (*),2019,3647
Damen Ave & Foster Ave,2019,3639
Clarendon Ave & Leland Ave,2019,3561
Damen Ave & Wellington Ave,2019,3544
Emerald Ave & 31st St,2019,3523
Museum of Science and Industry,2019,3520
Lincoln Park Conservatory,2019,3489
Throop (Loomis) St & Taylor St,2019,3426
LaSalle Dr & Huron St (*),2019,3365
Blackstone Ave & Hyde Park Blvd,2019,3347
Elizabeth (May) St & Fulton St,2019,3331
California Ave & North Ave,2019,3317
Milwaukee Ave & Rockwell St,2019,3285
Clark St & Lunt Ave,2019,3282
Wabash Ave & Cermak Rd,2019,3277
Financial Pl & Ida B Wells Dr (Temp),2019,3255
